id_utilizador,local_id,rating
475300,4b54392af964a520ebb427e3,10
401973,4b54392af964a520ebb427e3,10
684022,4b5812bdf964a5203a4a28e3,4
255385,4b5812bdf964a5203a4a28e3,10
791919,4b5812bdf964a5203a4a28e3,10
596670,4b5812bdf964a5203a4a28e3,10
1573426,4b5812bdf964a5203a4a28e3,10
2080817,4b5812bdf964a5203a4a28e3,10
1095748,4b5812bdf964a5203a4a28e3,10
378826,4b634318f964a5204d6e2ae3,8
531876,4b634318f964a5204d6e2ae3,5
130066,4b634318f964a5204d6e2ae3,5
2308767,4b634318f964a5204d6e2ae3,10
80713,4b634318f964a5204d6e2ae3,10
324046,4b634318f964a5204d6e2ae3,5
1557716,4b634318f964a5204d6e2ae3,5
38968,4b634318f964a5204d6e2ae3,10
549588,4b634318f964a5204d6e2ae3,10
419796,4b634318f964a5204d6e2ae3,10
148864,4b634318f964a5204d6e2ae3,3
772807,4b634318f964a5204d6e2ae3,3
36257,4b634318f964a5204d6e2ae3,2
1720276,4b634318f964a5204d6e2ae3,10
54563,4b634318f964a5204d6e2ae3,3
1332523,4b634318f964a5204d6e2ae3,10
51187,4b634318f964a5204d6e2ae3,1
910204,4b634318f964a5204d6e2ae3,1
375912,4b634318f964a5204d6e2ae3,1
691929,4b634318f964a5204d6e2ae3,5
151352,4b634318f964a5204d6e2ae3,5
62993,4b634318f964a5204d6e2ae3,3
1588782,4b634318f964a5204d6e2ae3,10
918131,4b634318f964a5204d6e2ae3,3
1531716,4b634318f964a5204d6e2ae3,1
602105,4b634318f964a5204d6e2ae3,8
169513,4b634318f964a5204d6e2ae3,6
2304440,4b634318f964a5204d6e2ae3,10
2224714,4b634318f964a5204d6e2ae3,10
392570,4b634318f964a5204d6e2ae3,10
176981,4b634318f964a5204d6e2ae3,10
1476470,4b634318f964a5204d6e2ae3,10
46498,4b634318f964a5204d6e2ae3,1
25122,4b634318f964a5204d6e2ae3,5
161901,4b634318f964a5204d6e2ae3,10
838260,4b634318f964a5204d6e2ae3,2
217319,4b634318f964a5204d6e2ae3,0
1198626,4b634318f964a5204d6e2ae3,5
653809,4b634318f964a5204d6e2ae3,10
880792,4b634318f964a5204d6e2ae3,9
1953630,4b634318f964a5204d6e2ae3,5
132222,4b634318f964a5204d6e2ae3,10
392728,4b634318f964a5204d6e2ae3,10
2251794,4b634318f964a5204d6e2ae3,0
90755,4b634318f964a5204d6e2ae3,10
2296828,4b634318f964a5204d6e2ae3,8
891049,4b634318f964a5204d6e2ae3,1
1545655,4b634318f964a5204d6e2ae3,10
612583,4b634318f964a5204d6e2ae3,5
421913,4b634318f964a5204d6e2ae3,10
1750056,4b634318f964a5204d6e2ae3,5
1862888,4b634318f964a5204d6e2ae3,5
2118061,4b634318f964a5204d6e2ae3,1
610437,4b634318f964a5204d6e2ae3,10
