4b527d00f964a5208b7f27e3,O Bem Arranjadinho,Portuguese Restaurant,Cozinha tradicional portuguesa,5.9,VERDADEIRO
4b54392af964a520ebb427e3,BY - Interactive Brands Agency,Advertising Agency,An Agency with a view.,8.7,VERDADEIRO
4b5812bdf964a5203a4a28e3,Hotel HF Fénix Porto,Hotel,"In the city centre, near everything and with easy access, it still shows a comfort level according to the quality of the HF Hotéis Fénix group.
With recently improved social areas, a terrace and a high quality level, this hotel is the right choice for your stay in Oporto.",7.8,VERDADEIRO
4b586542f964a520db5528e3,McDonald's,Fast Food Restaurant,"Bem vindo ao McDonald’s Rodrigo da Fonseca! À tua disposição tens menus, saladas, sobremesas, rapidez de atendimento e bom ambiente. Serve-te e boa refeição! Aproveita também o nosso McCafé, com maior variedade de gelados, bolos e cafés.",5.7,VERDADEIRO
4b589a10f964a5209e6028e3,Lagoas Health Club,Gym / Fitness Center,"O LAGOAS Health Club é reconhecido pela sua envolvência com espaços verdes, lagos, cascatas e pelas suas amplas salas com luz natural.",8.9,FALSO
4b5e00b3f964a5208f7829e3,Continente,Supermarket,O supermercado mais próximo com produtos frescos aos melhores preços.,6.7,VERDADEIRO
4b603b51f964a5201bdb29e3,McDonald's,Fast Food Restaurant,"Bem vindo ao McDonald’s Famalicão! À tua disposição tens menus, saladas, sobremesas, rapidez de atendimento e bom ambiente. Serve-te e boa refeição! Aqui também poderás fazer o teu pedido sem sair do carro e levá-lo contigo de imediato.",6.8,VERDADEIRO
4b634318f964a5204d6e2ae3,Marquês de Pombal,Plaza,"The Marquis of Pombal Square (Portuguese: Praça do Marquês de Pombal) is an important roundabout in the city of Lisbon, Portugal. It is located between the Avenida da Liberdade (Liberty Avenue) and the Eduardo VII Park in the former parish of Coração de Jesus and in the quarter of Santo António.",9.1,VERDADEIRO
4b645765f964a520e2ab2ae3,Aeroporto Internacional da Madeira Cristiano Ronaldo (FNC) (Aeroporto Internacional da Madeira Cristiano Ronaldo),Airport,"Cristiano Ronaldo International Airport, informally known as Madeira or Funchal Airport, and formerly known as Santa Catarina Airport, is an international airport in Santa Catarina, Santa Cruz. It is 13.2 km (8.2 mi) east northeast of the Cathedral of Funchal, Madeira, Portugal.",7.6,FALSO
4b648891f964a5207bbb2ae3,Strada Shopping & Fashion Outlet,Shopping Mall,Anteriormente conhecido como Odivelas Parque,6.6,FALSO
4b64a47ef964a520edc42ae3,Assembleia,Wine Bar,"Local de convívio agradável, com ambiente jovem onde encontra uma vasta gama de cervejas selecionadas, nacionais e estrangeiras. Pub com música ambiente e televisão de ecrã panorâmico.",8.1,FALSO
4b64b06df964a5209ac82ae3,Starbucks,Coffee Shop,Frappuccino ou infusão favorita e acompanhe o seu momento perfeito com um dos nossos doces,8,VERDADEIRO
