venue_id,latitude,longitude,venue_category,country_code,name,description,rating,verified
4ae88ba7f964a52050b021e3,37.020183,-7.969197,Airport,PT,Aeroporto de Faro (FAO) (Aeroporto de Faro),"Faro Airport (also known as Algarve Airport) is located 4 km  to the west of Faro, Portugal The airport gets very busy during the summer months to the extent that the airport becomes a slot coordinated airport. There are 22 stands of which 16 are remote, with 60 check-in desks and 36 boarding gates.",6.3,False
4b05889df964a52009d022e3,38.706807,-9.163651,Hotel,PT,Lapa Palace,"Built in the 19th-century, this luxurious palace is nestled on a hilltop overlooking the Tagus River and presents guests with the ideal base for an unforgettable stay in Lisbon.",8.3,False
4b05889ef964a5201bd022e3,38.720642,-9.150056,Hotel,PT,Altis Grand Hotel,"Um símbolo da elegante e genuína Hospitalidade Portuguesa
A 5 star Hotel in Lisbon, Portugal",7.2,True
4b05889ef964a52023d022e3,38.739487,-9.124077,Hotel,PT,Altis Park Hotel,"Um hotel de 4 estrelas muito funcional para os seus negócios e de fácil acesso, quer pela proximidade ao Aeroporto de Lisboa",6.2,True
4b05889ef964a5202dd022e3,38.738152,-9.141092,Hotel,PT,Holiday Inn,"Holiday Inn® Lisbon is located near the main business and tourism spots of the Portuguese capital, less than 15min driving from Lisbon Airport. Whether you are travelling on business or leisure, our wide rooms offer a stay with  maximum comfort and all  the conditions you need such as working des...",6.6,True
4b05889ef964a5202ed022e3,38.741485,-9.149866,Hotel,PT,Holiday Inn,"Stylish hotel in Lisbon's banking district, with meeting rooms, a fitness centre and free Wi-Fi
Holiday Inn® Lisbon – Continental hotel is only 5 km from Humberto Delgado Airport (LIS) and 15 minutes by metro from the Old Town...",6.8,True
4b05889ef964a52030d022e3,38.724197,-9.150083,Hotel,PT,Hotel Florida,"Find all of the defining characteristics of Lisbon – charm, intimacy, glamour, and a sense of classic cinema – exemplified in Hotel Florida.",7.3,True
4b05889ff964a52053d022e3,38.6968,-9.438027,Hotel,PT,Pestana Cascais Ocean & Conference Aparthotel,"O Pestana Cascais é um dos mais prestigiados hotéis em Cascais sendo uma excelente escolha, tanto para férias, como para lazer ou viagens de negócios.",7.3,True
4b05889ff964a52079d022e3,38.720326,-9.144927,Hotel,PT,Hotel NH Collection Lisboa Liberdade,Enjoy our NH Hoteles hotel in Lisbon,8.6,True
4b05889ff964a5207ad022e3,38.69988,-9.417092,Hotel,PT,The Albatroz Hotel,"The Albatroz Hotel is the combination of luxury hotel service and a gastronomic restaurant, making one feel ""out of this world"" right next door of Lisbon city centre.",7.9,True
4b05889ff964a5207bd022e3,38.738754,-9.166481,Hotel,PT,Corinthia Hotel Lisbon,"Corinthia Hotel Lisbon,  is a modern stylish hotel with stunning views over the 18th Century Aqueduct and the beautiful Monsanto Nature Park. The Corinthia Hotel Lisbon is the ideal base from which to explore this noble yet thoroughly contemporary European capital.",8.3,True
4b0588a0f964a52085d022e3,38.703522,-9.186974,Hotel,PT,Pestana Palace Hotel & National Monument,"O Pestana Palace, um dos melhores hotéis em Lisboa, é um hotel 5 estrelas num palácio do séc. XIX.",9.1,True
4b0588a1f964a520d8d022e3,38.716534,-9.141888,American Restaurant,PT,Hard Rock Cafe Lisboa,"Hard Rock Cafe is a global phenomenon with 185 cafes that are visited by nearly 80 million guests each year. The first Hard Rock Cafe opened on June 14, 1971, in London, England, and from there the brand has expanded to major cities and exotic locations around the world.",8.9,True
4b0588a1f964a520dbd022e3,38.714229,-9.14962,Lounge,PT,CINCO Lounge,CINCO lounge exists to create a sophisticated and cool cocktail culture in the fabulous city of Lisbon.,8.8,True
4b0588a1f964a520f5d022e3,38.706804,-9.14398,Nightclub,PT,O'Gilins Irish Pub,First Irish Pub in Lisbon & Best Guinness in Town,8.2,True
4b0588a3f964a52085d122e3,38.704671,-9.161105,Art Museum,PT,Museu Nacional de Arte Antiga,"De 3/12/13 a 30/3/14, RUBENS, BRUEGHEL, LORRAIN - A PAISAGEM NÓRDICA DO MUSEU DO PRADO.",8.4,False
